id,Valid test,Lap Shear joint substrate aluminum thickness (m),Average thickness of the adhesive layer (m),Spacer shim thickness (m),Fillet,Mixing to Applied Pressure Time (s),Temperature at sample preparation (°C),Humidity at sample preparation (%),Actual experimental test temperature (°C),Test humidity (%),Extension shift (in),Max load (N),Max strength (Pa),Extension at Max Load (m),Area under the curve to max load - Riemann Sums (N.mm),Extension at complete failure (m),Total under the curve - Riemann Sums (N.mm),Adhesive underfilled,Adhesive fill quality,Mode-of-failure,Test frame,Load cell
34,1,0.00152,8.47E-05,0.000127,0,2100,23.1,49,25.3,47,-0.00984,5690,17700000,0.00168,4580,0.00169,4620,0,4,1,1,1
35,1,0.00152,9.40E-05,0.000127,0,2100,23.1,49,25.3,47,-0.00492,4170,12900000,0.00142,2680,0.00142,2700,0,4,1,1,1
36,1,0.00152,6.73E-05,0.000127,0,2100,23.1,49,25.3,47,-0.011,3550,11000000,0.00131,2200,0.00131,2210,0,4,1,1,1
37,1,0.00152,0.000119,0.000127,0,2100,23.1,49,25.3,47,-0.00866,3570,11100000,0.00169,2410,0.00169,2420,0,4,1,1,1
38,1,0.00152,0.000104,0.000127,0,2100,23.1,49,25.3,47,-0.00728,3950,12300000,0.00142,2540,0.00143,2570,0,4,1,1,1
39,1,0.00152,0.000109,0.000127,0,2100,23.1,49,25.3,47,-0.00689,4130,12800000,0.00145,2640,0.00146,2690,0,4,1,1,1
40,1,0.00229,5.23E-05,0.000127,0,2100,23.1,49,25.3,47,-0.00295,6430,19900000,0.00179,5230,0.0018,5270,0,4,1,1,1
41,1,0.00229,6.40E-05,0.000127,0,2100,23.1,49,25.3,47,-0.00827,6090,18900000,0.00136,4130,0.00136,4140,0,4,1,1,1
42,1,0.00229,5.40E-05,0.000127,0,2100,23.1,49,25.3,47,-0.00827,5970,18500000,0.0014,4120,0.00141,4170,0,4,1,1,1
43,1,0.00229,5.40E-05,0.000127,0,2100,23.1,49,25.3,47,-0.00787,5790,18000000,0.00127,3830,0.00128,3850,0,4,1,1,1
44,1,0.00229,0.000127,0.000127,0,2100,23.1,49,25.3,47,-0.00787,7500,23200000,0.00151,5790,0.00151,5810,0,4,1,1,1
45,1,0.00229,6.30E-05,0.000127,0,2100,23.1,49,25.3,48,-0.00689,6060,18800000,0.00156,4460,0.00157,4530,0,4,1,1,1
46,1,0.00229,2.80E-05,0.000127,0,2100,23.1,49,25.3,48,-0.00433,6300,19500000,0.00155,4820,0.00156,4880,0,4,1,1,1
47,1,0.00229,1.27E-05,0.000127,0,2100,23.1,49,25.3,48,-0.00492,5090,15800000,0.0012,3000,0.00121,3030,0,4,1,1,1
48,1,0.00229,6.63E-05,0.000127,0,2100,23.1,49,25.3,47,-0.00827,5600,17300000,0.00123,3510,0.00123,3520,0,4,1,1,1
49,1,0.00229,3.63E-05,0.000127,0,2100,23.1,49,25.3,47,-0.00827,6830,21200000,0.00164,5580,0.00165,5610,0,4,1,1,1
50,1,0.00229,0.000131,0.000127,0,2100,23.1,49,25.3,47,-0.00728,5480,17000000,0.00156,3940,0.00157,3950,0,4,1,1,1
51,1,0.00229,0.000121,0.000127,0,2100,23.1,49,25.3,48,-0.00886,5360,16600000,0.00131,3650,0.00132,3690,0,4,1,1,1
